dQqlXutx3jY,애플에 배신 당했습니다. 더싸고 좋은 아이패드 에어 4세대? 가성비 애플워치 SE? 등 애플 신제품 발표 자세한 총정리!,2020-09-16T04:00:12Z,UCdUcjkyZtf-1WJyPPiETF1g,ITSub잇섭,28,20.18.09,애플 공개|애플 신제품|아이패드 에어 4세대|아이패드 에어|아이패드|애플워치|애플워치6|애플워치 시리즈6|시리즈6|애플워치 SE,900814,11332,334,3459,https://i.ytimg.com/vi/dQqlXutx3jY/default.jpg,FALSE,FALSE
NHGFGiGBIeQ,"★비행기 배달이요★ 국산 T-50 골든이글 첫 해외 수출 과정 밀착 다큐 - 골든이글 T-50, 인도네시아를 날다! (2014) | 전투기 밀착 다큐 시리즈 3탄",2020-09-17T12:00:11Z,UC4LW3sOslC14Vn5bcoNUBkg,KBS Documentary [KBS 다큐],24,20.18.09,KBS|다큐멘터리|docu|documentary|다큐|전투기|F-16|F16|F14|톰캣|F35|랩터|T-50|KFX|차세대전투기|성일환|UDT|UDT/SEAL|이근대위|이근|가짜사나이|진짜사나이|특전사|CCT|SART|SSU|혹한기|훈련|동계훈련|특수부대|특공무술|한미연합훈련|군사|밀리터리|밀착다큐|작전|T50|훈련기|페리수출|KAI|항우연,179353,2599,129,199,https://i.ytimg.com/vi/NHGFGiGBIeQ/default.jpg,FALSE,FALSE
tFgrqdMJl6o,[순간포착 세상에 이런 일이 레전드] ‘26kg 엄마와 두 남매’ 풀버전 다시보기ㅣ순간포착 세상에 이런 일이(Instant Capture)ㅣSBS Story,2020-09-16T05:15:15Z,UCYZv9v_bwfMGc64gLRe34OA,SBS STORY,24,20.18.09,SBS|SBSStory|교양|순간포착세상에이런일이|순간포착세상에이런일이다시보기|순간포착세상에이런일이레전드|순간포착세상에이런일이풀버전|순간포착세상에이런일이엄마|순간포착세상에이런일이26kg엄마|순간포착세상에이런일이풀버전다시보기|26kg엄마,317331,2224,155,342,https://i.ytimg.com/vi/tFgrqdMJl6o/default.jpg,FALSE,FALSE
1Q4bimul4DE,정동원 헨리 형과 즉석연주 [아내의맛],2020-09-15T23:00:00Z,UCrLQ0ovys23H9xBV6U-Sd4A,정동원TV,10,20.18.09,[none],582405,20352,480,1928,https://i.ytimg.com/vi/1Q4bimul4DE/default.jpg,FALSE,FALSE
95VJZY5AYIc,피의자 신문하시나 박형수 국민의힘 의원 질문에 대한 추미애 법무부 장관의 답변,2020-09-14T07:56:46Z,UC1aS5CRRDrN6CmR2VcpmetA,한국일보(hankookilbo.com),25,20.18.09,추미애|법무장관|법무부 장관|아들|특혜|논란|법무부|카투사|휴가|병가|전화|연장,522804,8439,878,4986,https://i.ytimg.com/vi/95VJZY5AYIc/default.jpg,FALSE,FALSE
6mp0xb58aNU,[ENG] Show Me The Money 9 [SMTM9] 본격 프로듀서 뒷담화?! 대기실에서 과연 무슨 일이.. I 10월 첫 방송 200101 EP.0,2020-09-17T04:51:00Z,UCepUWUpH45hRTi-QePdq1Bg,Mnet Official,24,20.18.09,ShowMeTheMoney9|SMTM9|쇼미더머니9|쇼미더머니|다이나믹듀오|비와이|자이언티|기리보이|코드쿤스트|팔로알토|저스디스|그루비룸,438797,7813,134,1778,https://i.ytimg.com/vi/6mp0xb58aNU/default.jpg,FALSE,FALSE
76icSNiX0xA,BTS (방탄소년단) VMAs Dynamite Getting Ready | Vogue,2020-09-15T15:44:05Z,UCRXiA3h1no_PFkb1JCP0yMA,Vogue,24,20.18.09,bts|vmas|bts band|bts vogue|bts behind the scenes|bts kpop|bts kpop group|vogue bts|24 hours with bts|24 hours bts|bts interview|interview with bts|bts green screen|bts vogue interview|bts (방탄소년단)|방탄소년단|방탄소년단 vogue|bangtan boys|bangtan boys bts|bts vma|bts vma performance|bts vma bts|dynamite bts|방탄|dynamite vma|dynamite vmas|투모로우바이투게더|big hit bts|dynamite getting ready|dynamite mv|jin|vogue,2611568,393446,1589,14969,https://i.ytimg.com/vi/76icSNiX0xA/default.jpg,FALSE,FALSE
Y8YKAT1dBdk,[김어준의 뉴스공장 FULL/9월 16일] 카투사들의 계속되는 제보 “너무한 언론의 마녀사냥”,2020-09-16T02:10:42Z,UC5HSw5OY2vfVFSihpiB-AVQ,TBS 시민의방송,25,20.18.09,TBS|김어준|뉴스공장|대북전단|삐라|이재용|삼성|정경심|타투이스트|김여정,443178,30293,1362,1221,https://i.ytimg.com/vi/Y8YKAT1dBdk/default.jpg,FALSE,FALSE
_lo9rabj-b4,박스손잡이의 변신! 3배 더 유용한 활용 꿀팁 / 그동안 버린 박스손잡이가 아까운 이유,2020-09-16T10:39:33Z,UCzcDD6vRfq25Cdo4w6nw7vw,코코네,26,20.18.09,코코네|박스손잡이|박스손잡이활용법|상자손잡이|상자손잡이활용법|박스손잡이활용꿀팁|커피박스손잡이|커피박스손잡이활용법|상자손잡이활용꿀팁|꿀팁|노하우,186401,3391,82,198,https://i.ytimg.com/vi/_lo9rabj-b4/default.jpg,FALSE,FALSE
9a-AuvwSWFA,"[FULL-eng sub] BTS Visual Radio in MBC / 방탄소년단, 배철수의 음악캠프 출연 보이는 라디오",2020-09-14T11:12:51Z,UCKNZsAeQXpvI-Mpoc0ZKhsA,MBC Radio봉춘라디오,10,20.18.09,btslive|btsmbc|방탄|봄날|dna|작은것들을위한시|fakelove|idol|피땀눈물|ineedyou|불타오르네|fire|micdrop|쩔어|고민보다go|saveme|run|노홍철|rm|랩몬스터|김남준|진|김석진|jin|슈가|suga|민윤기|제이홉|j-hope|정호석|지민|jimin|박지민|뷔|김태형|정국|전정국|bangtantv,2699762,211257,1321,6275,https://i.ytimg.com/vi/9a-AuvwSWFA/default.jpg,FALSE,FALSE
TzFRVk2ektI,MAX - Blueberry Eyes (feat. SUGA of BTS) [Official Music Video],2020-09-15T16:00:09Z,UCbwD4Ynubv_4Y-xDyIq86rw,MAXVEVO,10,20.18.09,MAX|Suga|Blueberry|Eyes|(feat.|SUGA|BTS)|[Official|Music|Video]|(SME/RED|JV)|LP2|Pop,6474141,1149591,12814,83762,https://i.ytimg.com/vi/TzFRVk2ektI/default.jpg,FALSE,FALSE
