video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
"JNCgaCOu6dQ","9/16(수) - 바빠서 10억 빠뜨린 국회의원? 말이 되나?(김진애) / 秋 구하려고 軍 망쳐 vs 국민 역린 맞다.. 빠른 수사(박성중·박용진) [김현정의 뉴스쇼]","2020-09-16T00:01:22Z","UC4Aa3OPkMenwTANpf0oWVRQ","CBS 김현정의 뉴스쇼","25","20.16.09","김현정|뉴스쇼|국회의원 재산|김진애 의원|광역시 통합|추미애 아들|황희 단독범|독감 백신|덴마크 성교육","66186","1311","110","86","https://i.ytimg.com/vi/JNCgaCOu6dQ/default.jpg","False","False"
"CWGYcmirsho","완판? 이게 다 팔렸다구요?","2020-09-15T09:00:03Z","UCs1R9zP6rH2GlTNHUI5SBkw","승우아빠 일상채널","24","20.16.09","Twitch|승우아빠|마이야르|트위치|쿠캣마켓|특수부위","274849","5342","69","1001","https://i.ytimg.com/vi/CWGYcmirsho/default.jpg","False","False"
"JCY_dG3bg7Q","[김어준의 뉴스공장 FULL/9월 15일] '추미애 장관 청문회' 된 대정부질문","2020-09-15T02:10:37Z","UC5HSw5OY2vfVFSihpiB-AVQ","TBS 시민의방송","25","20.16.09","TBS|김어준|뉴스공장|대북전단|삐라|이재용|삼성|정경심|타투이스트|김여정","397361","28440","720","984","https://i.ytimg.com/vi/JCY_dG3bg7Q/default.jpg","False","False"
"CkRDw4En_78","단시간 전신 다이어트 최고의 운동 [칼소폭 찐 핵매운맛]","2020-09-14T10:30:35Z","UCpg89Ys3E4BaLGgEEWVmI9g","Thankyou BUBU","26","20.16.09","전신유산소|유산소운동|뱃살빼는운동|다이어트운동|살빠지는운동|허벅지살|뱃살|옆구리살|홈트|홈트레이닝","338374","17205","172","2402","https://i.ytimg.com/vi/CkRDw4En_78/default.jpg","False","False"
"Y1zFu93y9y8","※놀라지마세요※ 성교육 책 들여다보니.. | 해운대 포르쉐 통장 60개는 왜?","2020-09-16T01:07:54Z","UC4Aa3OPkMenwTANpf0oWVRQ","CBS 김현정의 뉴스쇼","25","20.16.09","김현정|뉴스쇼|통장60개|해운대 포르쉐|덴마크 성교육|성교육 동화책|을왕리 벤츠|평택 편의점","59583","1773","76","115","https://i.ytimg.com/vi/Y1zFu93y9y8/default.jpg","False","False"
"Jw0gbbsW2SE","(SUB) 얼짱 박지호, 꽃미남에서 으른미 뿜뿜👍 |Allzzang|얼짱시대요즘뭐해 EP.02","2020-09-15T09:00:04Z","UCYmo0HyIbPtyu5QnFZ7-V5Q","얼짱TV","24","20.16.09","얼짱시대|얼짱TV|얼짱|얼짱시대요즘뭐해|요즘뭐해|홍영기|박지호|문야엘|강혁민|추억|싸이월드|미니홈피|투데이|도토리|인플루언서|유튜버|인스타그램|트위치|훈남BJ|트렌드세터|컴싸아라|훈녀생정|인소|웹소설|얼짱각도|훈남|훈녀|퍼가요","295412","2257","80","403","https://i.ytimg.com/vi/Jw0gbbsW2SE/default.jpg","False","False"
"cE4noLw95Yc","YooA, Bon voyage (유아, 숲의 아이) [THE SHOW 200915]","2020-09-15T10:17:34Z","UCoRXPcv8XK5fAplLbk9PTww","The K-POP","10","20.16.09","K-pop|Kpop|SBS|Korea|sbsmedianet|200915|THE SHOW|더쇼|더쇼라이브|유아|숲의 아이|YooA|Bon voyage","140477","9727","178","548","https://i.ytimg.com/vi/cE4noLw95Yc/default.jpg","False","False"
"HBBmEc5QXVw","싼타페는 포기했나? 실내 대박! 현대 신형 투싼 정식 공개! 싼타페보다 1cm 짧은 휠베이스  New Hyundai Tucson","2020-09-15T05:03:38Z","UCrXkDAx7w0EbfnyM7yNzmpQ","Motorian모터리언","2","20.16.09","현대|투싼|신형 투싼|뉴 투싼|4세대 투싼|NX4 투싼|Hyundai|Tucson|New Tucson","111399","1091","75","244","https://i.ytimg.com/vi/HBBmEc5QXVw/default.jpg","False","False"
"cEfj7zjMFsc","정청래, 추미애 아들 문제 전격 질의. 본회의장 웃음","2020-09-14T07:00:55Z","UCLiK08tsWKL5bNoz1f8sHsw","MediaVOP","25","20.16.09","민중의소리|이슈","459698","14782","1223","3604","https://i.ytimg.com/vi/cEfj7zjMFsc/default.jpg","False","False"
"h0MNH6Amu30","[100분토론] - 추미애 장관 아들 논란, 사실은? (885회)","2020-09-15T16:01:41Z","UCD46H9Pm3nLqCj7vv3pQkPA","MBC 100분토론","25","20.16.09","정준희|100분토론|백분토론|토론|윤건영|황보승희|국민의청원|프레임토론|원격수업|추미애|군대|휴가","144179","2771","190","1498","https://i.ytimg.com/vi/h0MNH6Amu30/default.jpg","False","False"
"NHyHM22iNrA","7299회. 신호등 고장나 그냥 통과했는데 단속한 경찰관. 방송 후 해당 경찰서 경비교통과장이 실명으로 댓글을 남기고 제보자를 찾아왔습니다.","2020-09-15T11:26:17Z","UCH5U89kvHrVxxS80xpoOydw","한문철 TV","2","20.16.09","한문철|과실비율|몇대몇|사고|교통사고|영상|블랙박스|블박|블박세|블랙박스로 본 세상|스스로닷컴|susulaw|car|traffic|accident|traffic accident|black box|dash cam|video","415286","6402","192","2982","https://i.ytimg.com/vi/NHyHM22iNrA/default.jpg","False","False"
"RoFCbALOhsE","[사건실화] 1차로가 앗아간 안타까운 두 생명 - 실화탐사대 (9월12일 방송) #실화탐사대 #실화On","2020-09-14T03:00:03Z","UC0imORt231LWWyyotvE3lUw","실화 On","25","20.16.09","사건|실화|실화탐사대|신동엽|김정근|강다솜|박지훈|실화On|실탐|주간사건실화|사건실화|Truestory|실화탐사|충격실화|1차로|앗아간두생명|은결|빈아|고잔|고잔톨게이트|사고차량|미조치","483883","4212","153","1940","https://i.ytimg.com/vi/RoFCbALOhsE/default.jpg","False","False"
"KToUMgGsw7U","7287회. (풀영상 공개)포르쉐, 부산 도심 한복판에서 시속 140km 신호 위반으로 도주하다 7중 추돌 사고 내고 전복. 그런데 음주가 아니다?","2020-09-15T05:30:01Z","UCH5U89kvHrVxxS80xpoOydw","한문철 TV","2","20.16.09","한문철|과실비율|몇대몇|사고|교통사고|영상|블랙박스|블박|블박세|블랙박스로 본 세상|스스로닷컴|susulaw|car|traffic|accident|traffic accident|black box|dash cam|video","472856","3850","168","1727","https://i.ytimg.com/vi/KToUMgGsw7U/default.jpg","False","False"
"o_dc6PzpcZw","[EP.06] 현모양처의 표본, 완벽한 내 아내의 믿지 못할 과거, 남편의 선택은?!  I 애로부부(Doomed Marriage) I 매주 월요일 밤 10시","2020-09-14T12:00:16Z","UCAP8OK0GHFbnL5OkY3j04Xw","skyTV 스카이티브이","24","20.16.09","skyTV|스카이티비|최화정|홍진경|이상아|이용진|양재진|애로부부|에로부부|막장드라마|드라마|웹드라마|부부|상간녀|애로부부 재연배우|애로부부 예고|애로부부 예고편|불륜드라마|동거|Doomed Marriage|Drama|부부의세계|현실판 부부의 세계|이혼|위험한 동거|내연남|막장|선수|공사|제비|바람|외도","120023","645","94","164","https://i.ytimg.com/vi/o_dc6PzpcZw/default.jpg","False","False"
